DATABASE,,,Listening,,,,,
,,,h5p.json,content/content.json,Input,Assets,Format,
Lesson.Conversation.resources[0].questions[2].options[1].text,,,,questions.3.params.answers.1.text,,,,
Lesson.Conversation.resources[0].questions[2].options[2].text,,,,questions.3.params.answers.2.text,,,,
Lesson.Conversation.resources[0].questions[2].options[3].text,,,,questions.3.params.answers.3.text,,,,
Lesson.Conversation.resources[1].name,,,,questions.6.params.interactiveVideo.video.startScreenOptions.title,,,,
Lesson.Conversation.resources[1].name,,,,questions.6.metadata.title,,,,
Lesson.Conversation.resources[1].name,,,,questions.6.metadata.extraTitle,,,,
Lesson.Conversation.resources[1].mp4,,,,questions.6.params.interactiveVideo.video.files.0.path,,,,
Lesson.Conversation.resources[1].subtitles,,,,questions.6.params.interactiveVideo.video.textTracks.0.track.path,,files\/track-5cec5f6f551eb.vtt,,
Lesson.Conversation.resources[1].questions[0].time,,,,questions.6.params.interactiveVideo.assets.interactions.1.duration.from,,,,
Lesson.Conversation.resources[1].questions[0].time,,,,questions.6.params.interactiveVideo.assets.interactions.1.duration.to,,,,
Lesson.Conversation.resources[1].questions[0].question,,,,questions.6.params.interactiveVideo.assets.interactions.1.action.params.textField,,,,
Lesson.Conversation.resources[1].questions[0].options[0].text,,,,questions.6.params.interactiveVideo.assets.interactions.1.action.params.taskDescription,,,,
Lesson.Conversation.resources[1].questions[1].time,,,,questions.6.params.interactiveVideo.assets.interactions.0.duration.from,,,,
Lesson.Conversation.resources[1].questions[1].time,,,,questions.6.params.interactiveVideo.assets.interactions.0.duration.to,,,,
Lesson.Conversation.resources[1].questions[1].question,,,,questions.6.params.interactiveVideo.assets.interactions.0.action.params.choices.0.question,,,,
Lesson.Conversation.resources[1].questions[1].options[0].text,,,,questions.6.params.interactiveVideo.assets.interactions.0.action.params.choices.0.answers.0,,,,
Lesson.Conversation.resources[1].questions[1].options[1].text,,,,questions.6.params.interactiveVideo.assets.interactions.0.action.params.choices.0.answers.1,,,,
Lesson.Conversation.resources[1].questions[1].options[2].text,,,,questions.6.params.interactiveVideo.assets.interactions.0.action.params.choices.0.answers.2,,,,
Lesson.Conversation.resources[1].questions[2].question,,,,questions.6.params.interactiveVideo.assets.interactions.0.action.params.choices.1.question,,,,
Lesson.Conversation.resources[1].questions[2].options[0].text,,,,questions.6.params.interactiveVideo.assets.interactions.0.action.params.choices.1.answers.0,,,,
Lesson.Conversation.resources[1].questions[2].options[1].text,,,,questions.6.params.interactiveVideo.assets.interactions.0.action.params.choices.1.answers.1,,,,
Lesson.Conversation.resources[1].questions[3].question,,,,questions.6.params.interactiveVideo.assets.interactions.0.action.params.choices.2.question,,,,
Lesson.Conversation.resources[1].questions[3].options[0].text,,,,questions.6.params.interactiveVideo.assets.interactions.0.action.params.choices.2.answers.0,,,,
Lesson.Conversation.resources[1].questions[3].options[1].text,,,,questions.6.params.interactiveVideo.assets.interactions.0.action.params.choices.2.answers.1,,,,
Lesson.Conversation.resources[1].questions[3].options[2].text,,,,questions.6.params.interactiveVideo.assets.interactions.0.action.params.choices.2.answers.2,,,,
,,,,questions.6.params.interactiveVideo.assets.endscreens.0.time,,,,Ultimo segundo del video
Lesson.Reading.resources[1].mp3,,,,questions.5.params.media.params.files.0.path,,,,
Lesson.Reading.resources[1].questions[1].question,,,,questions.5.params.question,,,,
Lesson.Reading.resources[1].questions[1].options[0].text,,,,questions.5.params.answers.0.text,,,,
Lesson.Reading.resources[1].questions[1].options[1].text,,,,questions.5.params.answers.1.text,,,,
Lesson.Reading.resources[1].questions[1].options[2].text,,,,questions.5.params.answers.2.text,,,,
,,,,endGame.successVideo.0.path,,,,Se debe Jalar GIF de _xito
,,,,endGame.failVideo.0.path,,,,Se debe Jalar video de fallo
